X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Avg,Date
21333.392348374982,21165.720056171154,18723.813687185873,21231.138989399522,15578.209064043584,23364.327760199933,19309.406310176724,15031.245578914877,18712.699053575885,21555.497015132038,19600.544986317458,May 2021
21548.055394952295,22466.89467108025,19176.61990795005,21390.413584568272,15558.445565053531,23352.779243472687,19977.95836953144,15080.317086363746,18239.72441469108,20481.01228536336,19727.22205230267,Jun 2021
21735.014846212885,22799.93306683922,19803.774075857036,22204.876196673034,14869.925993667513,23759.05848680352,20805.036159756164,14929.728020096121,18235.398425368367,20739.630059672014,19988.237533094587,Jul 2021
22275.36849781873,22468.27515333807,19832.18975154096,22372.571482213712,14517.544137698324,23539.206192202902,21228.972706894314,15533.246597452393,18941.455583713796,20772.371990331747,20148.120209320496,Aug 2021
21001.448340774037,21904.081238105,19060.11516676759,22142.573811162074,14444.681469159897,23657.085353300434,21198.039019120042,15841.934131562612,19433.60825582688,20037.452977086825,19872.10197628654,Sep 2021
21116.9649927577,22025.759394049626,18984.536883226054,21149.747750808554,14135.445816872354,23202.41630822025,21712.24728675616,15520.033963531578,19874.68623319888,20209.30739372101,19793.114602314217,Oct 2021
21559.071215930075,22864.762150980037,19371.420870771253,21186.647013840073,13786.786236036805,23166.714373673603,20195.947543872877,15604.404823126682,20755.54396487114,21131.480883795943,19962.277907689848,Nov 2021
21956.165412520386,23156.60355890972,19297.662201974745,21824.360360476134,13597.631578056435,23641.338067284814,21019.242859225113,15889.42403984971,22066.669791210028,21541.899808464488,20399.099767797157,Dec 2021
22077.45972968957,24319.934171622896,19580.18074219258,21756.63818144153,13417.950189994874,23784.30896812519,22341.876955430514,15960.741652718354,22358.342664220647,21759.221613091766,20735.66548685279,Jan 2022
22756.782381731293,24828.27066417473,20146.273577459742,21217.350780401568,13085.302300699506,22858.33459961002,22288.9083405512,16660.116736333548,21170.60194129798,21506.349846845067,20651.829116910467,Feb 2022
22826.20280676977,24768.204483296886,20756.614076794864,21192.529697082293,13775.49285738368,23418.62178948593,22778.120993496035,16987.70514092573,21088.159211737846,22023.467842733873,20961.51188997069,Mar 2022
22564.849304555595,24833.258119539634,20756.305836338375,21504.059163817023,13712.130133195731,23460.190729302925,23350.3531685571,16994.073802401243,20908.117161653256,22374.26203824871,21045.759945760958,Apr 2022
21730.134259596096,24279.03763738358,20740.629284746927,21501.876755069934,13812.364356012253,24690.97726110589,23799.6202067822,16534.8934387267,20341.30742569004,23001.52068851709,21043.23613136307,May 2022
21070.092695381834,22648.67689258833,21452.895345669756,21893.777214835016,14057.13658400598,24491.022204026773,23928.46882608007,16338.3233696069,19402.270048726317,23363.206140011003,20864.586932093196,Jun 2022
20955.896884008576,23098.381164700342,21784.77920022074,22292.52979189499,13629.329563223855,25214.684758277846,24085.582732375246,16844.818027930272,19373.93410150805,23495.456438365032,21077.539266250496,Jul 2022
21123.82263275852,22413.52646657997,22253.419078800103,22519.305454884558,13263.804475672689,24355.216224170446,23939.620056168005,16893.922328553203,19299.109317452665,23650.31207361225,20971.20581086524,Aug 2022
21473.118791926943,22493.55640132068,22546.063170886267,22575.7737857464,12689.181533216668,25166.97605108714,24383.957804131434,17008.144130710858,18932.594515627086,23631.439866672634,21090.08060513261,Sep 2022
21495.019837893316,22835.864745747,23340.90688019366,22665.544713763626,13182.64390670008,25297.179529421257,25052.692718322036,17320.566078820022,19200.041390677958,23722.08549016624,21411.254529170517,Oct 2022
